# This is the data for our detial run
0,2.03
8,2.88
8.5,2.97
# 9.0,3.69 outlier
9.5,3.26
10,3.48
10.5,3.93
11,4.97
11.5,5.31
12,5.51
28,7.98
28.5,8.42
29,9.09
29.5,9.91
30,10.23
35,11.19
40,11.65
45,12.04
50.2,12.47
52,12.56
53,12.61
